Gene
IARS2
RFC2
COG2
PIN1
NUP85
RPIA
FOS
CCNA2
RNPS1
ETFB
SNCA
PCNA
TMEM109
DMTF1
KIF20A
HERPUD1
ABHD4
MLEC
TSC22D3
RPA1
CHAC1
CNOT4
TFAP2A
SDHB
ITFG1
PDLIM1
HMG20B
PLK1
MCM3
GADD45A
MALT1
HMOX1
B4GAT1
RELB
GMNN
KIF14
PIP4K2B
TMCO1
ALDH7A1
BZW2
DUSP11
CDC25B
STMN1
CDKN1A
CHIC2
PRPF4
TPD52L2
MTFR1
C2CD5
BIRC5
ICMT
TXNL4B
RPS6KA1
SLC11A2
RRAGA
MACF1
KIF2C
FAM57A
EDEM1
TIMM9
GFPT1
PSRC1
COG7
ATP1B1
GATA2
COPS7A
HK1
PAN2
TOP2A
DDIT4
GADD45B
TXLNA
MAPKAPK5
GAA
PLCB3
AKR7A2
RBM15B
PAFAH1B3
ZMIZ1
STX1A
SMC3
AURKB
KIAA1033
ITGAE
LIG1
FDFT1
CCNB2
PMAIP1
GNAS
TLR4
BRCA1
COL4A1
NFE2L2
CALU
PCK2
PPP2R5A
FIS1
ID2
CBLB
POP4
ZDHHC6
RHOA
DNAJB2
BAX
CDK1
ARPP19
PDS5A
ARHGAP1
PARP2
VPS28
TIPARP
TRAP1
MSRA
NUP93
CDC20
PRKACA
NRIP1
TIMP2
SYNGR3
ATP6V0B
CTTN
MRPL12
FGFR2
H2AFV
RBM6
NUSAP1
SLC5A6
INTS3
PSME1
CFLAR
RNF167
SQSTM1
KIF1BP
GAPDH
ARID5B
UBE2C
NUP62
NMT1
HDAC2
GTPBP8
CCND3
CDC25A
SMARCD2
APPBP2
NUCB2
LRRC16A
MBNL2
TWF2
ANO10
KAT6B
CAT
ZNF274
EGR1
ZNF451
AKAP8L
TRAPPC3
PLSCR3
LPAR2
ZNF131
MAP3K4
HIST1H2BK
SYPL1
CHN1
TESK1
POLE2
ARFIP2
CXCR4
E2F2
MRPS16
FAH
IGF2R
UFM1
SOCS2
TBPL1
RB1
OXA1L
STUB1
PDIA5
PWP1
PSMD9
BLVRA
EAPP
EZH2
TERF2IP
PSMG1
PPARD
BLMH
CDK7
PSME2
GLOD4
SLC37A4
USP22
SERPINE1
LSM5
GRB10
CCNF
UBR7
DNMT1
UBQLN2
DRAP1
RPA2
MSH6
DYRK3
TBX2
SMARCA4
REEP5
DCTD
CENPE
CDC45
ABCC5
PRUNE
HIST2H2BE
GSTZ1
TSPAN4
ETV1
GRN
CHERP
AARS
NR3C1
IDE
IKBKAP
NOS3
SLC25A4
HSPA1A
CTNNAL1
CDC42
ABCB6
SYK
NUDCD3
GALE
KIAA0753
COG4
CLTB
CPNE3
YME1L1
BCL2
DCUN1D4
TARBP1
KCNK1
RRP1B
ADAM10
ALDOA
TES
EED
TXNRD1
SACM1L
LSM6
SUV39H1
USP7
CDK2
GRWD1
NUP133
GNAI2
ATP11B
IL13RA1
MAPKAPK2
PRR7
VPS72
ELAVL1
P4HA2
MYO10
NOL3
SNX13
ELAC2
STXBP1
TFDP1
NIPSNAP1
BNIP3
ARHGEF12
ICAM1
KIAA0355
JMJD6
PGM1
RUVBL1
PIGB
GTF2E2
PPIE
HES1
ITGB1BP1
TRIB3
PLA2G4A
BIRC2
HN1L
SPAG7
HOXA5
XPNPEP1
STAT3
FCHO1
TNIP1
NUP88
CEP57
S100A13
EFCAB14
EBNA1BP2
HTATSF1
LAP3
HACD3
RAB21
HSD17B10
CSK
TSPAN6
ZNF318
DNM1
RBKS
PRSS23
TM9SF3
MYBL2
CAMSAP2
CASC3
STK25
CRKL
SPP1
PYGL
COPB2
IQGAP1
MTHFD2
GLI2
MPZL1
NFIL3
NFKBIB
PIK3R4
HAT1
VGLL4
CD58
RAB27A
HSPD1
PIK3R3
TOPBP1
USP1
RRS1
CHEK1
TGFB3
ELOVL6
RAE1
RPL39L
SUPV3L1
RAD51C
FBXO21
